Prims Minimum Spanning Tree

Edge 	 Weight
27-->1  3.3
27-->2  1.05
32-->3  1.65
49-->4  1.95
15-->5  4.2
12-->6  7.05
4-->7  4.5
13-->8  2.4
17-->9  5.25
21-->10  4.05
4-->11  7.05
16-->12  3.15
24-->13  6.0
34-->14  2.7
24-->15  4.05
18-->16  3.75
10-->17  3.6
10-->18  1.95
16-->19  2.7
30-->20  3.0
2-->21  1.35
7-->22  5.4
1-->23  1.35
30-->24  1.05
28-->25  3.6
20-->26  2.7
14-->27  1.5
4-->28  1.35
12-->29  4.05
0-->30  1.2
0-->31  4.2
34-->32  2.7
16-->33  1.8
44-->34  2.4
47-->35  3.75
21-->36  1.8
45-->37  2.1
36-->38  4.5
22-->39  5.4
26-->40  7.65
15-->41  4.05
38-->42  5.4
41-->43  3.3
43-->44  2.25
28-->45  2.55
5-->46  7.05
8-->47  1.5
36-->48  2.1
31-->49  2.25
Total Cost: 163.65000000000003
